   Time             Pg                Vg                Vr                Qg              
 1.000000000E-005  0.000000000E+000  7.902685200E+001  1.172918317E+000  0.000000000E+000 
 2.000000000E-005  1.640167263E-012  8.026732656E+001  2.345819965E+000  0.000000000E+000 
 3.000000000E-005  1.480869987E-011  8.150666035E+001  3.518688273E+000  0.000000000E+000 
 4.000000000E-005  6.935913606E-011  8.274483575E+001  4.691506573E+000  0.000000000E+000 
 5.000000000E-005  2.287986606E-010  8.398183516E+001  5.864258197E+000  0.000000000E+000 
 6.000000000E-005  6.043541490E-010  8.521764100E+001  7.036926476E+000  0.000000000E+000 
 7.000000000E-005  1.369414736E-009  8.645223572E+001  8.209494745E+000  0.000000000E+000 
 8.000000000E-005  2.774349316E-009  8.768560175E+001  9.381946338E+000  0.000000000E+000 
 9.000000000E-005  5.161697351E-009  8.891772158E+001  1.055426459E+001  0.000000000E+000 
 1.000000000E-004  8.981731368E-009  9.014857769E+001  1.172643285E+001  0.000000000E+000 
 1.100000000E-004  1.480838947E-008  9.137815259E+001  1.289843445E+001  0.000000000E+000 
 1.200000000E-004  2.335557618E-008  9.260642880E+001  1.407025273E+001  0.000000000E+000 
 1.300000000E-004  3.549382996E-008  9.383338887E+001  1.524187104E+001  0.000000000E+000 
 1.400000000E-004  5.226735559E-008  9.505901537E+001  1.641327273E+001  0.000000000E+000 
 1.500000000E-004  7.491141978E-008  9.628329086E+001  1.758444116E+001  0.000000000E+000 
 1.600000000E-004  1.048701082E-007  9.750619795E+001  1.875535967E+001  0.000000000E+000 
 1.700000000E-004  1.438144419E-007  9.872771927E+001  1.992601162E+001  0.000000000E+000 
 1.800000000E-004  1.936608523E-007  9.994783744E+001  2.109638038E+001  0.000000000E+000 
 1.900000000E-004  2.565900109E-007  1.011665351E+002  2.226644932E+001  0.000000000E+000 
 2.000000000E-004  3.350660145E-007  1.023837950E+002  2.343620180E+001  0.000000000E+000 
 2.100000000E-004  4.318559221E-007  1.035995998E+002  2.460562120E+001  0.000000000E+000 
 2.200000000E-004  5.500496416E-007  1.048139322E+002  2.577469090E+001  0.000000000E+000 
 2.300000000E-004  6.930801663E-007  1.060267750E+002  2.694339428E+001  0.000000000E+000 
 2.400000000E-004  8.647441571E-007  1.072381109E+002  2.811171474E+001  0.000000000E+000 
 2.500000000E-004  1.069222869E-006  1.084479227E+002  2.927963567E+001  0.000000000E+000 
 2.600000000E-004  1.311103422E-006  1.096561933E+002  3.044714047E+001  0.000000000E+000 
 2.700000000E-004  1.595400410E-006  1.108629053E+002  3.161421254E+001  0.000000000E+000 
 2.800000000E-004  1.927577851E-006  1.120680418E+002  3.278083532E+001  0.000000000E+000 
 2.900000000E-004  2.313571471E-006  1.132715855E+002  3.394699220E+001  0.000000000E+000 
 3.000000000E-004  2.759811328E-006  1.144735194E+002  3.511266662E+001  0.000000000E+000 
 3.100000000E-004  3.273244761E-006  1.156738264E+002  3.627784201E+001  0.000000000E+000 
 3.200000000E-004  3.861359673E-006  1.168724893E+002  3.744250182E+001  0.000000000E+000 
 3.300000000E-004  4.532208148E-006  1.180694913E+002  3.860662948E+001  0.000000000E+000 
 3.400000000E-004  5.294430382E-006  1.192648152E+002  3.977020846E+001  0.000000000E+000 
 3.500000000E-004  6.157278950E-006  1.204584442E+002  4.093322221E+001  0.000000000E+000 
 3.600000000E-004  7.130643388E-006  1.216503611E+002  4.209565421E+001  0.000000000E+000 
 3.700000000E-004  8.225075097E-006  1.228405491E+002  4.325748794E+001  0.000000000E+000 
 3.800000000E-004  9.451812563E-006  1.240289913E+002  4.441870689E+001  0.000000000E+000 
 3.900000000E-004  1.082280690E-005  1.252156708E+002  4.557929455E+001  0.000000000E+000 
 4.000000000E-004  1.235074768E-005  1.264005706E+002  4.673923442E+001  0.000000000E+000 
 4.100000000E-004  1.404908913E-005  1.275836741E+002  4.789851003E+001  0.000000000E+000 
 4.200000000E-004  1.593207656E-005  1.287649642E+002  4.905710489E+001  0.000000000E+000 
 4.300000000E-004  1.801477317E-005  1.299444244E+002  5.021500254E+001  0.000000000E+000 
 4.400000000E-004  2.031308712E-005  1.311220378E+002  5.137218653E+001  0.000000000E+000 
 4.500000000E-004  2.284379889E-005  1.322977876E+002  5.252864040E+001  0.000000000E+000 
 4.600000000E-004  2.562458901E-005  1.334716571E+002  5.368434773E+001  0.000000000E+000 
 4.700000000E-004  2.867406597E-005  1.346436298E+002  5.483929208E+001  0.000000000E+000 
 4.800000000E-004  3.201179457E-005  1.358136889E+002  5.599345705E+001  0.000000000E+000 
 4.900000000E-004  3.565832443E-005  1.369818177E+002  5.714682622E+001  0.000000000E+000 
 5.000000000E-004  3.963521883E-005  1.381479997E+002  5.829938321E+001  0.000000000E+000 
 5.100000000E-004  4.396508393E-005  1.393122184E+002  5.945111164E+001  0.000000000E+000 
 5.200000000E-004  4.867159812E-005  1.404744571E+002  6.060199514E+001  0.000000000E+000 
 5.300000000E-004  5.377954176E-005  1.416346993E+002  6.175201734E+001  6.727535287E-003 
 5.400000000E-004  5.931482716E-005  1.427929287E+002  6.290116192E+001  6.727535287E-003 
 5.500000000E-004  6.530452889E-005  1.439491286E+002  6.404941253E+001  6.727535287E-003 
 5.600000000E-004  7.177691424E-005  1.451032826E+002  6.519675285E+001  6.727535287E-003 
 5.700000000E-004  7.876147410E-005  1.462553745E+002  6.634316659E+001  6.727535287E-003 
 5.800000000E-004  8.628895405E-005  1.474053877E+002  6.748863744E+001  6.727535287E-003 
