Pg,Qg,Vg_rms,Vg_ang,Pg_PSIM,Qg_PSIM,err
0,250,224.891252930761,0,4.694516271,249.9366499,7.7069338578154e-05
0,500,229.582607431014,0,9.388825761,499.8624366,9.88034955483656e-05
0,750,234.096736459909,0,14.090688,750.1903404,-0.000430028514334178
0,1000,238.452325786651,0,18.78042192,999.8725329,-4.88895621597021e-05
250,0,219.943145093043,1.30262563252864,249.7218143,-0.1574381907,0.00111378341822873
250,250,224.838005290804,1.27426195117645,254.5199917,250.1062705,-0.00920559794863492
250,500,229.532496435182,1.2481960653304,259.2755946,499.8683958,-0.00726759368871153
250,750,234.049381304036,1.2241036096979,264.049606,750.0410148,-0.00577653382447063
250,1000,238.407413552065,1.20172396716575,268.8159521,1000.159116,-0.00471016930405284
500,0,219.772137747776,2.60795428522706,499.247677,-0.1066046247,0.00150689053917784
500,250,224.677882562951,2.55097264919922,504.1128446,250.1125564,-0.00663113555664324
500,500,229.381833703518,2.49862611847173,508.9377491,499.9040999,-0.00880409343645411
500,750,233.907026677431,2.45025762120602,513.8095547,750.1739842,-0.0086622958851995
500,1000,238.272421074501,2.40533975844039,518.6125178,999.8664931,-0.0073939571504208
750,0,219.48563549689,3.91873988154214,748.5380513,0.2168576522,0.00195302994067668
750,250,224.409733856996,3.83262321656185,753.4586321,250.0152906,-0.00414019021959538
750,500,229.129620824001,3.75355990816373,758.3971755,500.0248996,-0.00771963627105127
750,750,233.668797635587,3.68054296992874,763.3007178,750.0730425,-0.00887490909483052
750,1000,238.046574873029,3.61276553393484,768.2349493,1000.208136,-0.00887289567281718
1000,0,219.081351141676,5.23784084819495,997.5485236,-0.06844564181,0.00245749854575795
1000,250,224.031602006874,5.1217915841428,1002.574326,249.9184025,-0.00239816299506252
1000,500,228.774162591875,5.01534030695693,1007.554995,499.7774583,-0.00592475713595914
1000,750,233.333210603666,4.91710292821587,1012.559892,749.8251454,-0.00791003796617364
1000,1000,237.728564941172,4.82597314771369,1017.572509,1000.091911,-0.00879208487791211
