   Time             Vo                Vq2               Vq1               Vo_             
 1.000000000E-005  8.594783603E-014  1.000000000E+000  1.000000000E+000  1.048227933E-016 
 2.000000000E-005  8.588010257E-014  1.000000000E+000  1.000000000E+000  3.811086218E-016 
 3.000000000E-005 -6.002136673E-013  0.000000000E+000  0.000000000E+000  7.812803424E-016 
 4.000000000E-005 -6.002136506E-013  0.000000000E+000  0.000000000E+000 -7.911505581E-017 
 5.000000000E-005 -6.002136340E-013  0.000000000E+000  0.000000000E+000 -1.843912315E-015 
 6.000000000E-005 -6.002136175E-013  0.000000000E+000  0.000000000E+000 -4.749749441E-015 
 7.000000000E-005 -6.002136010E-013  0.000000000E+000  0.000000000E+000 -8.702585111E-015 
 8.000000000E-005 -6.002135847E-013  0.000000000E+000  0.000000000E+000 -1.361338330E-014 
 9.000000000E-005  8.588473512E-014  1.000000000E+000  1.000000000E+000 -1.892072711E-014 
 1.000000000E-004  8.588473211E-014  1.000000000E+000  1.000000000E+000 -2.355459431E-014 
 1.100000000E-004  8.588472902E-014  1.000000000E+000  1.000000000E+000 -2.774618639E-014 
 1.200000000E-004  8.588472582E-014  1.000000000E+000  1.000000000E+000 -3.137261421E-014 
 1.300000000E-004  8.588472253E-014  1.000000000E+000  1.000000000E+000 -3.446964698E-014 
 1.400000000E-004 -3.274999953E+002  0.000000000E+000  1.000000000E+000 -1.990538111E-003 
 1.500000000E-004  5.008586786E-006  0.000000000E+000  0.000000000E+000 -2.039185609E-001 
 1.600000000E-004  4.990027000E-006  0.000000000E+000  0.000000000E+000 -3.771829273E-001 
 1.700000000E-004  4.964607442E-006  0.000000000E+000  0.000000000E+000 -5.398168321E-001 
 1.800000000E-004  4.930550483E-006  0.000000000E+000  0.000000000E+000 -6.887787788E-001 
 1.900000000E-004  4.888593673E-006  0.000000000E+000  0.000000000E+000 -8.248033924E-001 
 2.000000000E-004  4.837410248E-006  1.000000000E+000  1.000000000E+000 -9.450060835E-001 
 2.100000000E-004  4.780419124E-006  1.000000000E+000  1.000000000E+000 -1.054718972E+000 
 2.200000000E-004  4.719126452E-006  1.000000000E+000  1.000000000E+000 -1.156403282E+000 
 2.300000000E-004  4.652481912E-006  1.000000000E+000  1.000000000E+000 -1.247791927E+000 
 2.400000000E-004  4.581039507E-006  1.000000000E+000  1.000000000E+000 -1.329482476E+000 
 2.500000000E-004 -3.274999906E+002  0.000000000E+000  1.000000000E+000 -1.402146949E+000 
 2.600000000E-004  1.342286006E-005  0.000000000E+000  0.000000000E+000 -1.881713007E+000 
 2.700000000E-004  1.330339146E-005  0.000000000E+000  0.000000000E+000 -2.243191804E+000 
 2.800000000E-004  1.316968679E-005  0.000000000E+000  0.000000000E+000 -2.580176944E+000 
 2.900000000E-004  1.301817143E-005  0.000000000E+000  0.000000000E+000 -2.885714025E+000 
 3.000000000E-004  1.285053976E-005  0.000000000E+000  0.000000000E+000 -3.161572000E+000 
 3.100000000E-004 -3.274999725E+002  1.000000000E+000  1.000000000E+000 -3.743665639E+000 
 3.200000000E-004  2.593838495E-005  1.000000000E+000  1.000000000E+000 -4.442847951E+000 
 3.300000000E-004  2.566539959E-005  1.000000000E+000  1.000000000E+000 -5.079229444E+000 
 3.400000000E-004  2.536741007E-005  1.000000000E+000  1.000000000E+000 -5.670693122E+000 
 3.500000000E-004  2.503822728E-005  1.000000000E+000  1.000000000E+000 -6.204523221E+000 
 3.600000000E-004 -3.274999694E+002  0.000000000E+000  1.000000000E+000 -6.679882703E+000 
 3.700000000E-004  3.726848720E-005  0.000000000E+000  0.000000000E+000 -7.663685867E+000 
 3.800000000E-004  3.680940573E-005  0.000000000E+000  0.000000000E+000 -8.479420940E+000 
 3.900000000E-004  3.631837476E-005  0.000000000E+000  0.000000000E+000 -9.234448630E+000 
 4.000000000E-004  3.578764245E-005  0.000000000E+000  0.000000000E+000 -9.911646194E+000 
 4.100000000E-004  3.522139776E-005  0.000000000E+000  0.000000000E+000 -1.051556010E+001 
 4.200000000E-004 -3.274999495E+002  0.000000000E+000  1.000000000E+000 -1.137102052E+001 
 4.300000000E-004  4.891700808E-005  1.000000000E+000  1.000000000E+000 -1.239627995E+001 
 4.400000000E-004  4.819237963E-005  1.000000000E+000  1.000000000E+000 -1.328691767E+001 
 4.500000000E-004  4.743307589E-005  1.000000000E+000  1.000000000E+000 -1.410486778E+001 
 4.600000000E-004  4.663100488E-005  1.000000000E+000  1.000000000E+000 -1.482975050E+001 
 4.700000000E-004 -3.274999473E+002  0.000000000E+000  1.000000000E+000 -1.545931437E+001 
 4.800000000E-004  6.185359501E-005  0.000000000E+000  0.000000000E+000 -1.665954162E+001 
 4.900000000E-004  6.088589494E-005  0.000000000E+000  0.000000000E+000 -1.770983791E+001 
 5.000000000E-004  5.987740902E-005  0.000000000E+000  0.000000000E+000 -1.867117107E+001 
 5.100000000E-004  5.881878268E-005  0.000000000E+000  0.000000000E+000 -1.951865448E+001 
 5.200000000E-004  5.771613497E-005  0.000000000E+000  0.000000000E+000 -2.025924412E+001 
 5.300000000E-004 -3.274999265E+002  0.000000000E+000  1.000000000E+000 -2.120874092E+001 
 5.400000000E-004  7.425429856E-005  1.000000000E+000  1.000000000E+000 -2.249328916E+001 
 5.500000000E-004  7.296235822E-005  1.000000000E+000  1.000000000E+000 -2.356203575E+001 
 5.600000000E-004  7.162920153E-005  1.000000000E+000  1.000000000E+000 -2.453144607E+001 
 5.700000000E-004  7.024582056E-005  1.000000000E+000  1.000000000E+000 -2.537387921E+001 
 5.800000000E-004 -3.274999232E+002  0.000000000E+000  1.000000000E+000 -2.608551535E+001 
 5.900000000E-004  8.823779088E-005  0.000000000E+000  0.000000000E+000 -2.738556636E+001 
 6.000000000E-004  8.666827644E-005  0.000000000E+000  0.000000000E+000 -2.860501228E+001 
 6.100000000E-004  8.505182280E-005  0.000000000E+000  0.000000000E+000 -2.970837921E+001 
