   Time             V3N               V2N               V1N               V23               V12               V31             
 1.000000000E-005  1.421085472E-014  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000  7.105427358E-015 
 2.000000000E-005  3.333329778E+001 -6.666659555E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.000000000E-005  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 4.000000000E-005  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 5.000000000E-005  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 6.000000000E-005  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 7.000000000E-005  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 8.000000000E-005  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 9.000000000E-005  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 1.000000000E-004  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  7.105427358E-015  9.999989334E+001 
 1.100000000E-004  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 1.200000000E-004  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 1.300000000E-004  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 1.400000000E-004  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 1.500000000E-004  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  1.421085472E-014 
 1.600000000E-004  7.105427358E-015  2.131628207E-014  7.105427358E-015  1.421085472E-014 -1.421085472E-014  0.000000000E+000 
