   Time             Vo                Vo_             
 1.000000000E-005 -3.274999087E+002 -5.170820874E-001 
 2.000000000E-005 -3.274999620E+002 -1.678654622E+000 
 3.000000000E-005  3.275000495E+002 -3.368484891E+000 
 4.000000000E-005  3.275000302E+002 -4.371583613E+000 
 5.000000000E-005  3.275000109E+002 -4.788935247E+000 
 6.000000000E-005  3.274999916E+002 -4.465065764E+000 
 7.000000000E-005  3.274999723E+002 -3.457727540E+000 
 8.000000000E-005  3.274999530E+002 -1.821685513E+000 
 9.000000000E-005 -3.275000375E+002 -1.356161920E-001 
 1.000000000E-004 -3.275000184E+002  7.047301211E-001 
 1.100000000E-004 -3.274999993E+002  9.745818216E-001 
 1.200000000E-004 -3.274999802E+002  5.227070624E-001 
 1.300000000E-004 -3.274999611E+002 -5.943693736E-001 
 1.400000000E-004 -3.274999421E+002 -2.323054619E+000 
 1.500000000E-004  3.275000397E+002 -3.751732309E+000 
 1.600000000E-004  3.275000204E+002 -4.371458558E+000 
 1.700000000E-004  3.275000011E+002 -4.427632383E+000 
 1.800000000E-004  3.274999817E+002 -3.771160565E+000 
 1.900000000E-004  3.274999625E+002 -2.458305424E+000 
 2.000000000E-004 -3.275000282E+002 -1.058976175E+000 
 2.100000000E-004 -3.275000091E+002 -4.829643011E-001 
 2.200000000E-004 -3.274999901E+002 -4.602555724E-001 
 2.300000000E-004 -3.274999711E+002 -1.137185658E+000 
 2.400000000E-004 -3.274999521E+002 -2.458449884E+000 
 2.500000000E-004 -3.274999332E+002 -4.371626092E+000 
 2.600000000E-004  3.275000569E+002 -6.289619595E+000 
 2.700000000E-004  3.275000374E+002 -7.332630270E+000 
 2.800000000E-004  3.275000179E+002 -7.782875179E+000 
 2.900000000E-004  3.274999984E+002 -7.482977786E+000 
 3.000000000E-004  3.274999789E+002 -6.491326088E+000 
 3.100000000E-004 -3.275000120E+002 -5.367194077E+000 
 3.200000000E-004 -3.274999933E+002 -5.038162580E+000 
 3.300000000E-004 -3.274999745E+002 -5.240893099E+000 
 3.400000000E-004 -3.274999558E+002 -6.115705774E+000 
 3.500000000E-004 -3.274999371E+002 -7.608995040E+000 
 3.600000000E-004 -3.274999185E+002 -9.669962232E+000 
 3.700000000E-004  3.275000797E+002 -1.198815893E+001 
 3.800000000E-004  3.275000599E+002 -1.341283879E+001 
 3.900000000E-004  3.275000400E+002 -1.421298950E+001 
 4.000000000E-004  3.275000202E+002 -1.422233954E+001 
 4.100000000E-004  3.275000003E+002 -1.350174697E+001 
 4.200000000E-004 -3.274999912E+002 -1.259880956E+001 
 4.300000000E-004 -3.274999729E+002 -1.246089618E+001 
 4.400000000E-004 -3.274999546E+002 -1.283187832E+001 
 4.500000000E-004 -3.274999363E+002 -1.384579123E+001 
 4.600000000E-004 -3.274999181E+002 -1.545097666E+001 
 4.700000000E-004 -3.274999000E+002 -1.759849141E+001 
 4.800000000E-004  3.275001063E+002 -2.021346450E+001 
 4.900000000E-004  3.275000860E+002 -2.195981717E+001 
 5.000000000E-004  3.275000656E+002 -2.304942847E+001 
 5.100000000E-004  3.275000452E+002 -2.330709895E+001 
 5.200000000E-004  3.275000248E+002 -2.279632385E+001 
 5.300000000E-004 -3.274999674E+002 -2.205224491E+001 
 5.400000000E-004 -3.274999496E+002 -2.204322012E+001 
 5.500000000E-004 -3.274999318E+002 -2.252039325E+001 
 5.600000000E-004 -3.274999141E+002 -2.361164729E+001 
 5.700000000E-004 -3.274998965E+002 -2.526737991E+001 
 5.800000000E-004 -3.274998789E+002 -2.744060269E+001 
 5.900000000E-004  3.275001352E+002 -3.025733143E+001 
 6.000000000E-004  3.275001143E+002 -3.226814596E+001 
 6.100000000E-004  3.275000933E+002 -3.359051847E+001 
 6.200000000E-004  3.275000723E+002 -3.404053721E+001 
 6.300000000E-004  3.275000513E+002 -3.368439807E+001 
 6.400000000E-004 -3.274999417E+002 -3.304395577E+001 
 6.500000000E-004 -3.274999246E+002 -3.310951897E+001 
 6.600000000E-004 -3.274999075E+002 -3.363936656E+001 
 6.700000000E-004 -3.274998904E+002 -3.475551252E+001 
 6.800000000E-004 -3.274998734E+002 -3.641044015E+001 
 6.900000000E-004 -3.274998565E+002 -3.855914100E+001 
 7.000000000E-004 -3.274998398E+002 -4.115901779E+001 
 7.100000000E-004  3.275001438E+002 -4.342960273E+001 
 7.200000000E-004  3.275001221E+002 -4.473269895E+001 
 7.300000000E-004  3.275001004E+002 -4.536850622E+001 
 7.400000000E-004  3.275000787E+002 -4.515967958E+001 
 7.500000000E-004 -3.274999151E+002 -4.461327529E+001 
 7.600000000E-004 -3.274998987E+002 -4.474333012E+001 
 7.700000000E-004 -3.274998822E+002 -4.531543797E+001 
 7.800000000E-004 -3.274998658E+002 -4.644567452E+001 
 7.900000000E-004 -3.274998495E+002 -4.808866159E+001 
 8.000000000E-004 -3.274998333E+002 -5.020142015E+001 
 8.100000000E-004 -3.274998172E+002 -5.274327735E+001 
 8.200000000E-004  3.275001739E+002 -5.523003161E+001 
 8.300000000E-004  3.275001516E+002 -5.670791899E+001 
 8.400000000E-004  3.275001292E+002 -5.748935767E+001 
 8.500000000E-004  3.275001068E+002 -5.738908584E+001 
 8.600000000E-004 -3.274998880E+002 -5.689815260E+001 
 8.700000000E-004 -3.274998723E+002 -5.705540831E+001 
 8.800000000E-004 -3.274998566E+002 -5.763356609E+001 
 8.900000000E-004 -3.274998409E+002 -5.874310036E+001 
 9.000000000E-004 -3.274998253E+002 -6.034073656E+001 
 9.100000000E-004 -3.274998098E+002 -6.238548997E+001 
 9.200000000E-004 -3.274997944E+002 -6.483857682E+001 
 9.300000000E-004  3.275002043E+002 -6.748009135E+001 
 9.400000000E-004  3.275001812E+002 -6.910597380E+001 
 9.500000000E-004  3.275001581E+002 -7.000712680E+001 
 9.600000000E-004  3.275001350E+002 -6.999064083E+001 
 9.700000000E-004 -3.274998609E+002 -6.953006498E+001 
 9.800000000E-004 -3.274998459E+002 -6.969038461E+001 
 9.900000000E-004 -3.274998309E+002 -7.025133932E+001 
 1.000000000E-003 -3.274998159E+002 -7.131806893E+001 
 1.010000000E-003 -3.274998010E+002 -7.284936113E+001 
 1.020000000E-003 -3.274997863E+002 -7.480618488E+001 
 1.030000000E-003 -3.274997716E+002 -7.715160579E+001 
 1.040000000E-003  3.275002346E+002 -7.990273389E+001 
 1.050000000E-003  3.275002108E+002 -8.166029667E+001 
 1.060000000E-003  3.275001870E+002 -8.266554528E+001 
 1.070000000E-003  3.275001631E+002 -8.271812871E+001 
 1.080000000E-003 -3.274998339E+002 -8.227236073E+001 
 1.090000000E-003 -3.274998196E+002 -8.242086856E+001 
 1.100000000E-003 -3.274998054E+002 -8.295045379E+001 
 1.110000000E-003 -3.274997911E+002 -8.396112934E+001 
 1.120000000E-003 -3.274997770E+002 -8.541370280E+001 
 1.130000000E-003 -3.274997630E+002 -8.727105591E+001 
 1.140000000E-003 -3.274997491E+002 -8.949806407E+001 
 1.150000000E-003  3.275002646E+002 -9.232585556E+001 
 1.160000000E-003  3.275002401E+002 -9.420571096E+001 
 1.170000000E-003  3.275002155E+002 -9.530622514E+001 
 1.180000000E-003  3.275001909E+002 -9.541976552E+001 
 1.190000000E-003 -3.274998072E+002 -9.497949087E+001 
 1.200000000E-003 -3.274997937E+002 -9.510727246E+001 
 1.210000000E-003 -3.274997802E+002 -9.559715998E+001 
 1.220000000E-003 -3.274997667E+002 -9.654420619E+001 
 1.230000000E-003 -3.274997533E+002 -9.791119680E+001 
 1.240000000E-003 -3.274997400E+002 -9.966288622E+001 
 1.250000000E-003 -3.274997268E+002 -1.017659212E+002 
 1.260000000E-003 -3.274997137E+002 -1.041887664E+002 
 1.270000000E-003  3.275002690E+002 -1.062337208E+002 
 1.280000000E-003  3.275002437E+002 -1.071993223E+002 
 1.290000000E-003  3.275002184E+002 -1.074178512E+002 
 1.300000000E-003 -3.274997809E+002 -1.070224876E+002 
 1.310000000E-003 -3.274997681E+002 -1.071669311E+002 
 1.320000000E-003 -3.274997553E+002 -1.076533411E+002 
 1.330000000E-003 -3.274997425E+002 -1.085714501E+002 
 1.340000000E-003 -3.274997298E+002 -1.098860653E+002 
 1.350000000E-003 -3.274997172E+002 -1.115638574E+002 
 1.360000000E-003 -3.274997047E+002 -1.135732876E+002 
 1.370000000E-003 -3.274996923E+002 -1.158845374E+002 
 1.380000000E-003  3.275002977E+002 -1.180772802E+002 
 1.390000000E-003  3.275002717E+002 -1.191618134E+002 
 1.400000000E-003  3.275002457E+002 -1.194733684E+002 
 1.410000000E-003 -3.274997549E+002 -1.191098000E+002 
 1.420000000E-003 -3.274997428E+002 -1.192579487E+002 
 1.430000000E-003 -3.274997307E+002 -1.197286246E+002 
 1.440000000E-003 -3.274997186E+002 -1.206064424E+002 
 1.450000000E-003 -3.274997066E+002 -1.218581859E+002 
 1.460000000E-003 -3.274996947E+002 -1.234523982E+002 
 1.470000000E-003 -3.274996828E+002 -1.253593131E+002 
 1.480000000E-003 -3.274996711E+002 -1.275507885E+002 
 1.490000000E-003  3.275003261E+002 -1.298625810E+002 
 1.500000000E-003  3.275002994E+002 -1.310582572E+002 
 1.510000000E-003  3.275002727E+002 -1.314556057E+002 
 1.520000000E-003 -3.274997293E+002 -1.311153698E+002 
 1.530000000E-003 -3.274997179E+002 -1.312585699E+002 
 1.540000000E-003 -3.274997065E+002 -1.317055027E+002 
 1.550000000E-003 -3.274996951E+002 -1.325358469E+002 
 1.560000000E-003 -3.274996838E+002 -1.337183146E+002 
 1.570000000E-003 -3.274996725E+002 -1.352232750E+002 
 1.580000000E-003 -3.274996614E+002 -1.370226901E+002 
 1.590000000E-003 -3.274996504E+002 -1.390900522E+002 
 1.600000000E-003  3.275003540E+002 -1.414995751E+002 
 1.610000000E-003  3.275003266E+002 -1.428016298E+002 
 1.620000000E-003  3.275002992E+002 -1.432805261E+002 
 1.630000000E-003 -3.274997042E+002 -1.429581925E+002 
 1.640000000E-003 -3.274996935E+002 -1.430904295E+002 
 1.650000000E-003 -3.274996828E+002 -1.435082212E+002 
 1.660000000E-003 -3.274996721E+002 -1.442864812E+002 
 1.670000000E-003 -3.274996614E+002 -1.453957987E+002 
 1.680000000E-003 -3.274996509E+002 -1.468083208E+002 
 1.690000000E-003 -3.274996404E+002 -1.484976917E+002 
 1.700000000E-003 -3.274996300E+002 -1.504389937E+002 
 1.710000000E-003 -3.274996198E+002 -1.526086899E+002 
 1.720000000E-003  3.275003533E+002 -1.540406245E+002 
 1.730000000E-003  3.275003253E+002 -1.543529948E+002 
 1.740000000E-003 -3.274996797E+002 -1.540869722E+002 
 1.750000000E-003 -3.274996696E+002 -1.542435384E+002 
 1.760000000E-003 -3.274996595E+002 -1.546665175E+002 
 1.770000000E-003 -3.274996495E+002 -1.554257540E+002 
 1.780000000E-003 -3.274996395E+002 -1.564937417E+002 
 1.790000000E-003 -3.274996296E+002 -1.578444330E+002 
 1.800000000E-003 -3.274996198E+002 -1.594531824E+002 
 1.810000000E-003 -3.274996100E+002 -1.612966907E+002 
 1.820000000E-003 -3.274996004E+002 -1.633529516E+002 
 1.830000000E-003  3.275003797E+002 -1.649339239E+002 
 1.840000000E-003  3.275003510E+002 -1.653532914E+002 
 1.850000000E-003 -3.274996556E+002 -1.651348794E+002 
 1.860000000E-003 -3.274996462E+002 -1.653056005E+002 
 1.870000000E-003 -3.274996367E+002 -1.657243262E+002 
 1.880000000E-003 -3.274996273E+002 -1.664560398E+002 
 1.890000000E-003 -3.274996180E+002 -1.674750851E+002 
 1.900000000E-003 -3.274996087E+002 -1.687571679E+002 
 1.910000000E-003 -3.274995995E+002 -1.702793030E+002 
 1.920000000E-003 -3.274995904E+002 -1.720197623E+002 
 1.930000000E-003 -3.274995814E+002 -1.739580245E+002 
 1.940000000E-003  3.275004055E+002 -1.756672447E+002 
 1.950000000E-003  3.275003762E+002 -1.761880346E+002 
 1.960000000E-003 -3.274996321E+002 -1.760114055E+002 
 1.970000000E-003 -3.274996233E+002 -1.761883125E+002 
 1.980000000E-003 -3.274996145E+002 -1.765955624E+002 
 1.990000000E-003 -3.274996057E+002 -1.772934848E+002 
 2.000000000E-003 -3.274995970E+002 -1.782582135E+002 
 2.010000000E-003 -3.274995884E+002 -1.794671504E+002 
 2.020000000E-003 -3.274995798E+002 -1.808989157E+002 
 2.030000000E-003 -3.274995713E+002 -1.825333002E+002 
 2.040000000E-003 -3.274995629E+002 -1.843512180E+002 
 2.050000000E-003  3.275004307E+002 -1.861730602E+002 
 2.060000000E-003  3.275004008E+002 -1.867913552E+002 
 2.070000000E-003 -3.274996093E+002 -1.866529157E+002 
 2.080000000E-003 -3.274996011E+002 -1.868294726E+002 
 2.090000000E-003 -3.274995929E+002 -1.872194732E+002 
 2.100000000E-003 -3.274995848E+002 -1.878788031E+002 
 2.110000000E-003 -3.274995767E+002 -1.887853216E+002 
 2.120000000E-003 -3.274995686E+002 -1.899180649E+002 
 2.130000000E-003 -3.274995607E+002 -1.912572003E+002 
 2.140000000E-003 -3.274995528E+002 -1.927839816E+002 
 2.150000000E-003 -3.274995450E+002 -1.944807052E+002 
 2.160000000E-003  3.275004553E+002 -1.964036146E+002 
 2.170000000E-003  3.275004248E+002 -1.971165002E+002 
 2.180000000E-003 -3.274995873E+002 -1.970143953E+002 
 2.190000000E-003 -3.274995797E+002 -1.971848604E+002 
 2.200000000E-003 -3.274995721E+002 -1.975526568E+002 
 2.210000000E-003 -3.274995645E+002 -1.981694412E+002 
 2.220000000E-003 -3.274995570E+002 -1.990147296E+002 
 2.230000000E-003 -3.274995496E+002 -2.000691271E+002 
 2.240000000E-003 -3.274995422E+002 -2.013142861E+002 
 2.250000000E-003 -3.274995349E+002 -2.027328641E+002 
 2.260000000E-003 -3.274995277E+002 -2.043084835E+002 
 2.270000000E-003  3.275004791E+002 -2.063240622E+002 
 2.280000000E-003  3.275004480E+002 -2.071291439E+002 
 2.290000000E-003 -3.274995661E+002 -2.070629475E+002 
 2.300000000E-003 -3.274995590E+002 -2.072219073E+002 
 2.310000000E-003 -3.274995520E+002 -2.075629057E+002 
 2.320000000E-003 -3.274995451E+002 -2.081335934E+002 
 2.330000000E-003 -3.274995381E+002 -2.089150705E+002 
 2.340000000E-003 -3.274995313E+002 -2.098894423E+002 
 2.350000000E-003 -3.274995245E+002 -2.110397798E+002 
 2.360000000E-003 -3.274995177E+002 -2.123500820E+002 
 2.370000000E-003 -3.274995111E+002 -2.138052383E+002 
 2.380000000E-003 -3.274995045E+002 -2.153909919E+002 
 2.390000000E-003  3.275004705E+002 -2.163305983E+002 
 2.400000000E-003 -3.274995457E+002 -2.161705716E+002 
 2.410000000E-003 -3.274995392E+002 -2.163602411E+002 
 2.420000000E-003 -3.274995327E+002 -2.167156413E+002 
 2.430000000E-003 -3.274995263E+002 -2.172800906E+002 
 2.440000000E-003 -3.274995199E+002 -2.180362912E+002 
 2.450000000E-003 -3.274995136E+002 -2.189678680E+002 
 2.460000000E-003 -3.274995073E+002 -2.200593319E+002 
 2.470000000E-003 -3.274995010E+002 -2.212960453E+002 
 2.480000000E-003 -3.274994949E+002 -2.226641874E+002 
 2.490000000E-003 -3.274994888E+002 -2.241507208E+002 
