   Time             Vo                Vo_             
 1.000000000E-005 -3.274991950E+002 -5.170814595E-001 
 2.000000000E-005 -3.274975719E+002 -1.678650277E+000 
 3.000000000E-005  3.275049508E+002 -3.368472354E+000 
 4.000000000E-005  3.275067172E+002 -4.371549618E+000 
 5.000000000E-005  3.275077492E+002 -4.788869897E+000 
 6.000000000E-005  3.275078018E+002 -4.464955620E+000 
 7.000000000E-005  3.275068760E+002 -3.457560142E+000 
 8.000000000E-005  3.275049747E+002 -1.821451414E+000 
 9.000000000E-005 -3.274972218E+002 -1.353109626E-001 
 1.000000000E-004 -3.274983864E+002  7.051048157E-001 
 1.100000000E-004 -3.274988249E+002  9.750237147E-001 
 1.200000000E-004 -3.274982952E+002  5.232130607E-001 
 1.300000000E-004 -3.274967988E+002 -5.938011737E-001 
 1.400000000E-004 -3.274943389E+002 -2.322422956E+000 
 1.500000000E-004  3.275079195E+002 -3.751028707E+000 
 1.600000000E-004  3.275091865E+002 -4.370672135E+000 
 1.700000000E-004  3.275097195E+002 -4.426754316E+000 
 1.800000000E-004  3.275092742E+002 -3.770179565E+000 
 1.900000000E-004  3.275078524E+002 -2.457212200E+000 
 2.000000000E-004 -3.274938708E+002 -1.057764982E+000 
 2.100000000E-004 -3.274945651E+002 -4.816348673E-001 
 2.200000000E-004 -3.274945361E+002 -4.588081953E-001 
 2.300000000E-004 -3.274935432E+002 -1.135620353E+000 
 2.400000000E-004 -3.274915884E+002 -2.456764840E+000 
 2.500000000E-004 -3.274886756E+002 -4.369815764E+000 
 2.600000000E-004  3.275145073E+002 -6.287667793E+000 
 2.700000000E-004  3.275166402E+002 -7.330520088E+000 
 2.800000000E-004  3.275180322E+002 -7.780591990E+000 
 2.900000000E-004  3.275184359E+002 -7.480501867E+000 
 3.000000000E-004  3.275178523E+002 -6.488638742E+000 
 3.100000000E-004 -3.274830530E+002 -5.364275846E+000 
 3.200000000E-004 -3.274829415E+002 -5.035002568E+000 
 3.300000000E-004 -3.274821171E+002 -5.237482787E+000 
 3.400000000E-004 -3.274803428E+002 -6.112033093E+000 
 3.500000000E-004 -3.274776214E+002 -7.605045668E+000 
 3.600000000E-004 -3.274739572E+002 -9.665717772E+000 
 3.700000000E-004  3.275303431E+002 -1.198358726E+001 
 3.800000000E-004  3.275336191E+002 -1.340790792E+001 
 3.900000000E-004  3.275361404E+002 -1.420767335E+001 
 4.000000000E-004  3.275376544E+002 -1.421660261E+001 
 4.100000000E-004  3.275381613E+002 -1.349555413E+001 
 4.200000000E-004 -3.274616861E+002 -1.259211893E+001 
 4.300000000E-004 -3.274605370E+002 -1.245368042E+001 
 4.400000000E-004 -3.274586916E+002 -1.282411562E+001 
 4.500000000E-004 -3.274559188E+002 -1.383745172E+001 
 4.600000000E-004 -3.274522217E+002 -1.544202811E+001 
 4.700000000E-004 -3.274476049E+002 -1.758889753E+001 
