   Time             Vo                Vq2               Vq1               Vo_             
 1.000000000E-005 -3.957661303E-014  1.000000000E+000  1.000000000E+000 -2.233821540E-017 
 2.000000000E-005 -3.965343376E-014  1.000000000E+000  1.000000000E+000 -1.111881020E-016 
 3.000000000E-005 -9.649685050E-014  1.000000000E+000  1.000000000E+000 -2.723249950E-016 
 4.000000000E-005 -3.964736861E-014  1.000000000E+000  1.000000000E+000 -5.549700592E-016 
 5.000000000E-005 -3.966555041E-014  1.000000000E+000  1.000000000E+000 -9.872226177E-016 
 6.000000000E-005 -3.965494288E-014  1.000000000E+000  1.000000000E+000 -1.579675694E-015 
 7.000000000E-005 -3.964888123E-014  1.000000000E+000  1.000000000E+000 -2.330965685E-015 
 8.000000000E-005 -9.649684418E-014  1.000000000E+000  1.000000000E+000 -3.238688174E-015 
 9.000000000E-005 -3.964433253E-014  1.000000000E+000  1.000000000E+000 -4.304624360E-015 
 1.000000000E-004 -3.966554539E-014  1.000000000E+000  1.000000000E+000 -5.523953829E-015 
 1.100000000E-004 -3.965342336E-014  1.000000000E+000  1.000000000E+000 -6.875233595E-015 
 1.200000000E-004 -3.966099938E-014  1.000000000E+000  1.000000000E+000 -8.327087905E-015 
 1.300000000E-004 -3.965796894E-014  1.000000000E+000  1.000000000E+000 -9.844954863E-015 
 1.400000000E-004 -3.966099944E-014  1.000000000E+000  1.000000000E+000 -1.139244542E-014 
 1.500000000E-004 -3.965493865E-014  1.000000000E+000  1.000000000E+000 -1.293272906E-014 
 1.600000000E-004 -3.275020819E+002  0.000000000E+000  1.000000000E+000  1.051585612E-002 
 1.700000000E-004 -3.275020592E+002  0.000000000E+000  1.000000000E+000 -1.625747097E-001 
 1.800000000E-004  4.266690733E-005  0.000000000E+000  0.000000000E+000 -6.501724408E-001 
 1.900000000E-004  4.129451209E-005  0.000000000E+000  0.000000000E+000 -1.612073702E+000 
 2.000000000E-004  3.950559587E-005  0.000000000E+000  0.000000000E+000 -2.842397031E+000 
 2.100000000E-004  3.720853037E-005  0.000000000E+000  0.000000000E+000 -4.384521267E+000 
 2.200000000E-004  3.448398275E-005  0.000000000E+000  0.000000000E+000 -6.164211885E+000 
 2.300000000E-004  3.142619684E-005  0.000000000E+000  0.000000000E+000 -8.100921368E+000 
 2.400000000E-004  2.813916243E-005  0.000000000E+000  0.000000000E+000 -1.011090010E+001 
 2.500000000E-004  2.473254142E-005  0.000000000E+000  0.000000000E+000 -1.211033372E+001 
 2.600000000E-004  2.131750455E-005  0.000000000E+000  0.000000000E+000 -1.401839208E+001 
 2.700000000E-004  1.800263535E-005  0.000000000E+000  0.000000000E+000 -1.576008114E+001 
 2.800000000E-004  1.489004633E-005  0.000000000E+000  0.000000000E+000 -1.726880010E+001 
 2.900000000E-004  1.207184311E-005  0.000000000E+000  0.000000000E+000 -1.848851884E+001 
 3.000000000E-004  9.627056366E-006  0.000000000E+000  0.000000000E+000 -1.937550767E+001 
 3.100000000E-004  7.619137641E-006  0.000000000E+000  0.000000000E+000 -1.989956934E+001 
 3.200000000E-004  6.094095410E-006  0.000000000E+000  0.000000000E+000 -2.004474290E+001 
 3.300000000E-004  5.079319939E-006  0.000000000E+000  0.000000000E+000 -1.980946896E+001 
 3.400000000E-004  4.583120022E-006  0.000000000E+000  0.000000000E+000 -1.920622624E+001 
 3.500000000E-004  4.594968100E-006  0.000000000E+000  0.000000000E+000 -1.826066763E+001 
 3.600000000E-004  5.086423065E-006  0.000000000E+000  0.000000000E+000 -1.701030187E+001 
 3.700000000E-004  6.012679625E-006  0.000000000E+000  0.000000000E+000 -1.550278209E+001 
 3.800000000E-004  7.314667302E-006  0.000000000E+000  0.000000000E+000 -1.379387460E+001 
 3.900000000E-004  8.921608709E-006  0.000000000E+000  0.000000000E+000 -1.194519148E+001 
 4.000000000E-004  1.075392973E-005  0.000000000E+000  0.000000000E+000 -1.002177602E+001 
 4.100000000E-004  1.272640548E-005  0.000000000E+000  0.000000000E+000 -8.089633377E+000 
 4.200000000E-004  1.475142098E-005  0.000000000E+000  0.000000000E+000 -6.213297808E+000 
 4.300000000E-004  1.674222436E-005  0.000000000E+000  0.000000000E+000 -4.453523972E+000 
 4.400000000E-004  1.861605453E-005  0.000000000E+000  0.000000000E+000 -2.865182752E+000 
 4.500000000E-004  2.029703343E-005  0.000000000E+000  0.000000000E+000 -1.495432247E+000 
 4.600000000E-004  2.171872315E-005  0.000000000E+000  0.000000000E+000 -3.822225261E-001 
 4.700000000E-004  2.282626646E-005  0.000000000E+000  0.000000000E+000  4.468211020E-001 
 4.800000000E-004 -3.275020452E+002  0.000000000E+000  1.000000000E+000  7.968970531E-001 
 4.900000000E-004 -3.275020226E+002  0.000000000E+000  1.000000000E+000  5.646732564E-001 
 5.000000000E-004 -3.275020008E+002  0.000000000E+000  1.000000000E+000 -2.385372294E-001 
 5.100000000E-004 -3.275019803E+002  0.000000000E+000  1.000000000E+000 -1.911462458E+000 
 5.200000000E-004 -3.275019613E+002  0.000000000E+000  1.000000000E+000 -4.589690258E+000 
 5.300000000E-004 -3.275019441E+002  0.000000000E+000  1.000000000E+000 -8.363830211E+000 
 5.400000000E-004  1.327410513E-004  1.000000000E+000  1.000000000E+000 -1.352860825E+001 
 5.500000000E-004  1.236769952E-004  1.000000000E+000  1.000000000E+000 -1.943094005E+001 
 5.600000000E-004  1.137347232E-004  1.000000000E+000  1.000000000E+000 -2.575791669E+001 
 5.700000000E-004  1.028561401E-004  1.000000000E+000  1.000000000E+000 -3.246136649E+001 
 5.800000000E-004  9.140566840E-005  1.000000000E+000  1.000000000E+000 -3.925627446E+001 
 5.900000000E-004  7.975916520E-005  1.000000000E+000  1.000000000E+000 -4.586316166E+001 
 6.000000000E-004  6.828988808E-005  1.000000000E+000  1.000000000E+000 -5.201808463E+001 
 6.100000000E-004  5.735496143E-005  1.000000000E+000  1.000000000E+000 -5.748177988E+001 
 6.200000000E-004  4.728282310E-005  1.000000000E+000  1.000000000E+000 -6.204764536E+001 
 6.300000000E-004  3.836207963E-005  1.000000000E+000  1.000000000E+000 -6.554830217E+001 
 6.400000000E-004  3.083213385E-005  1.000000000E+000  1.000000000E+000 -6.786053873E+001 
 6.500000000E-004  2.487587619E-005  1.000000000E+000  1.000000000E+000 -6.890850449E+001 
 6.600000000E-004  2.061464441E-005  1.000000000E+000  1.000000000E+000 -6.866508739E+001 
 6.700000000E-004  1.810557037E-005  1.000000000E+000  1.000000000E+000 -6.715147783E+001 
 6.800000000E-004  1.734134081E-005  1.000000000E+000  1.000000000E+000 -6.443498743E+001 
 6.900000000E-004  1.825231156E-005  1.000000000E+000  1.000000000E+000 -6.062525254E+001 
 7.000000000E-004  2.071082836E-005  1.000000000E+000  1.000000000E+000 -5.586900746E+001 
